Models,Rule,Sensitivity,Specificity
"('log_reg', 'random_forest')",1ooN,0.9195402298850575,0.8988095238095238
"('log_reg', 'random_forest')",Majority,0.9195402298850575,0.8988095238095238
"('log_reg', 'random_forest')",NooN,0.8793103448275862,0.9583333333333334
"('log_reg', 'xgboost')",1ooN,0.9482758620689655,0.8928571428571429
"('log_reg', 'xgboost')",Majority,0.9482758620689655,0.8928571428571429
"('log_reg', 'xgboost')",NooN,0.896551724137931,0.9642857142857143
"('random_forest', 'xgboost')",1ooN,0.9252873563218391,0.9226190476190477
"('random_forest', 'xgboost')",Majority,0.9252873563218391,0.9226190476190477
"('random_forest', 'xgboost')",NooN,0.8793103448275862,0.9583333333333334
"('log_reg', 'random_forest', 'xgboost')",1ooN,0.9482758620689655,0.8869047619047619
"('log_reg', 'random_forest', 'xgboost')",Majority,0.896551724137931,0.9404761904761905
"('log_reg', 'random_forest', 'xgboost')",NooN,0.8793103448275862,0.9702380952380952
